序号	报错提示	解释
1	AttributeError	属性错误，特性引用和赋值失败时会引发属性错误
2	NameError	试图访问的变量名不存在
3	SyntaxError	语法错误，代码形式错误
4	Exception	所有异常的基类，因为所有python异常类都是基类Exception的其中一员，异常都是从基类Exception继承的，并且都在exceptions模块中定义。
5	IOError	一般常见于打开不存在文件时会引发IOError错误，也可以解理为输出输入错误
6	KeyError	使用了映射中不存在的关键字（键）时引发的关键字错误
7	IndexError	索引错误，使用的索引不存在，常索引超出序列范围，什么是索引
8	TypeError	类型错误，内建操作或是函数应于在了错误类型的对象时会引发类型错误
9	ZeroDivisonError	除数为0，在用除法操作时，第二个参数为0时引发了该错误
10	ValueError	值错误，传给对象的参数类型不正确，像是给int()函数传入了字符串数据类型的参数
11	SyntaxError ：invalid syntax	忘记在 if , elif, else , for , while , class ,def 声明末尾添加冒号（：）
12	SyntaxError: invalid syntax	使用 = 而不是 ==
13	IndentationError：unexpected indent”、“IndentationError：unindent does not match any outer indetation level”以及“IndentationError：expected an indented block”）	错误的使用缩进量。记住缩进增加只用在以：结束的语句之后，而之后必须恢复到之前的缩进格式。
14	TypeError: 'list' object cannot be interpreted as an integer	在 for 循环语句中忘记调用 len()。通常你想要通过索引来迭代一个list或者string的元素，这需要调用 range() 函数。要记得返回len 值而不是返回这个列表。
15	TypeError: 'str' object does not support item assignment	尝试修改string的值。string是一种不可变的数据类型
16	TypeError: Can't convert 'int' object to str implicitly	尝试连接非字符串值与字符串
17	SyntaxError: EOL while scanning string literal	在字符串首尾忘记加引号
18	NameError: name 'fooba' is not defined	变量或者函数名拼写错误
19	AttributeError: 'str' object has no attribute 'lowerr'	方法名拼写错误
20	IndexError: list index out of range	引用超过list最大索引
21	KeyError：‘spam’	使用不存在的字典键值
22	SyntaxError：invalid syntax	尝试使用Python关键字作为变量名
23	NameError: name 'foobar' is not defined	在一个定义新变量中使用增值操作符。不要在声明变量时使用0或者空字符串作为初始值，这样使用自增操作符的一句spam += 1等于spam = spam + 1，这意味着spam需要指定一个有效的初始值。
24	UnboundLocalError: local variable 'foobar' referenced before assignment	在定义局部变量前在函数中使用局部变量
25	TypeError: 'range' object does not support item assignment	尝试使用 range()创建整数列表
26	SyntaxError: invalid syntax	不错在 ++ 或者 -- 自增自减操作符
27	TypeError: myMethod() takes no arguments (1 given)	忘记为方法的第一个参数添加self参数
