转义字符                           功能
   \\                           反斜杠（\）
   \'                           单引号（'）
   \"                           双引号（"）
   \a                           ASCII响铃符（BEL）
   \b                           ASCII退格符（BS）
   \f                           ASCII进纸符（FF）
   \n                           ASCII换行符（LF）
   \N(name)                     Unicode数据库中的字符名，其中name是它的名字，仅适用Unicode
   \r                           ASCII回车符（CR）
   \t                           ASCII水平制表符（TAB）
   \uxxxx                       值为16位十六进制值xxxx的字符（仅适用Unicode）
   \Uxxxxxxxx                   值为32位十六进制值xxxxxxxxx的字符（仅适用Unicode）
   \v                           ASCII 垂直制表符（VT）
   \ooo                         值为八进制值ooo的字符
   \xhh                         值为十六进制数hh的字符
